schedule_id,route_id,service_id,direction,period,start_time,end_time,headway_min,planned_runtime_min,valid_from,valid_to
SCH000270,R003,HOL,1,evening,19:30,22:30,68,32.7,2025-10-06,2025-10-12
SCH000271,R004,HOL,0,early,05:30,07:00,68,18.4,2025-10-06,2025-10-12
SCH000272,R004,HOL,0,am_peak,07:00,10:00,45,26.6,2025-10-06,2025-10-12
SCH000273,R004,HOL,0,midday,10:00,16:00,90,22.7,2025-10-06,2025-10-12
SCH000274,R004,HOL,0,pm_peak,16:00,19:30,45,27.5,2025-10-06,2025-10-12
SCH000275,R004,HOL,0,evening,19:30,22:30,90,20.3,2025-10-06,2025-10-12
SCH000276,R004,HOL,1,early,05:30,07:00,68,18.4,2025-10-06,2025-10-12
SCH000277,R004,HOL,1,am_peak,07:00,10:00,45,26.6,2025-10-06,2025-10-12
SCH000278,R004,HOL,1,midday,10:00,16:00,90,22.7,2025-10-06,2025-10-12
SCH000279,R004,HOL,1,pm_peak,16:00,19:30,45,27.5,2025-10-06,2025-10-12
SCH000280,R004,HOL,1,evening,19:30,22:30,90,20.3,2025-10-06,2025-10-12
SCH000281,R005,HOL,0,early,05:30,07:00,68,29.4,2025-10-06,2025-10-12
SCH000282,R005,HOL,0,am_peak,07:00,10:00,45,42.6,2025-10-06,2025-10-12
SCH000283,R005,HOL,0,midday,10:00,16:00,90,36.4,2025-10-06,2025-10-12
SCH000284,R005,HOL,0,pm_peak,16:00,19:30,45,44.2,2025-10-06,2025-10-12
SCH000285,R005,HOL,0,evening,19:30,22:30,90,32.5,2025-10-06,2025-10-12
SCH000286,R005,HOL,1,early,05:30,07:00,68,29.4,2025-10-06,2025-10-12
SCH000287,R005,HOL,1,am_peak,07:00,10:00,45,42.6,2025-10-06,2025-10-12
SCH000288,R005,HOL,1,midday,10:00,16:00,90,36.4,2025-10-06,2025-10-12
SCH000289,R005,HOL,1,pm_peak,16:00,19:30,45,44.2,2025-10-06,2025-10-12
SCH000290,R005,HOL,1,evening,19:30,22:30,90,32.5,2025-10-06,2025-10-12
SCH000291,R006,HOL,0,early,05:30,07:00,68,28.8,2025-10-06,2025-10-12
SCH000292,R006,HOL,0,am_peak,07:00,10:00,45,41.8,2025-10-06,2025-10-12
SCH000293,R006,HOL,0,midday,10:00,16:00,90,35.6,2025-10-06,2025-10-12
SCH000294,R006,HOL,0,pm_peak,16:00,19:30,45,43.3,2025-10-06,2025-10-12
SCH000295,R006,HOL,0,evening,19:30,22:30,90,31.9,2025-10-06,2025-10-12
SCH000296,R006,HOL,1,early,05:30,07:00,68,28.8,2025-10-06,2025-10-12
SCH000297,R006,HOL,1,am_peak,07:00,10:00,45,41.8,2025-10-06,2025-10-12
SCH000298,R006,HOL,1,midday,10:00,16:00,90,35.6,2025-10-06,2025-10-12
SCH000299,R006,HOL,1,pm_peak,16:00,19:30,45,43.3,2025-10-06,2025-10-12
SCH000300,R006,HOL,1,evening,19:30,22:30,90,31.9,2025-10-06,2025-10-12
SCH000301,R007,HOL,0,early,05:30,07:00,90,16.1,2025-10-06,2025-10-12
SCH000302,R007,HOL,0,am_peak,07:00,10:00,68,21.8,2025-10-06,2025-10-12
SCH000303,R007,HOL,0,midday,10:00,16:00,135,19.5,2025-10-06,2025-10-12
SCH000304,R007,HOL,0,pm_peak,16:00,19:30,68,22.5,2025-10-06,2025-10-12
SCH000305,R007,HOL,0,evening,19:30,22:30,135,17.7,2025-10-06,2025-10-12
SCH000306,R007,HOL,1,early,05:30,07:00,90,16.1,2025-10-06,2025-10-12
SCH000307,R007,HOL,1,am_peak,07:00,10:00,68,21.8,2025-10-06,2025-10-12
SCH000308,R007,HOL,1,midday,10:00,16:00,135,19.5,2025-10-06,2025-10-12
SCH000309,R007,HOL,1,pm_peak,16:00,19:30,68,22.5,2025-10-06,2025-10-12
SCH000310,R007,HOL,1,evening,19:30,22:30,135,17.7,2025-10-06,2025-10-12
SCH000311,R008,HOL,0,early,05:30,07:00,90,10.4,2025-10-06,2025-10-12
SCH000312,R008,HOL,0,am_peak,07:00,10:00,68,14.1,2025-10-06,2025-10-12
SCH000313,R008,HOL,0,midday,10:00,16:00,135,12.6,2025-10-06,2025-10-12
SCH000314,R008,HOL,0,pm_peak,16:00,19:30,68,14.5,2025-10-06,2025-10-12
SCH000315,R008,HOL,0,evening,19:30,22:30,135,11.4,2025-10-06,2025-10-12
SCH000316,R008,HOL,1,early,05:30,07:00,90,10.4,2025-10-06,2025-10-12
SCH000317,R008,HOL,1,am_peak,07:00,10:00,68,14.1,2025-10-06,2025-10-12
SCH000318,R008,HOL,1,midday,10:00,16:00,135,12.6,2025-10-06,2025-10-12
SCH000319,R008,HOL,1,pm_peak,16:00,19:30,68,14.5,2025-10-06,2025-10-12
SCH000320,R008,HOL,1,evening,19:30,22:30,135,11.4,2025-10-06,2025-10-12
